v_id,nom_district,v_nom,region
164,Flacq,Ecroignard,E 
165,Flacq,Ernest Florent,E 
166,Moka,Espérance,C 
167,Rivière du Rempart,Espérance Trébuchet,N 
168,Flacq,F.U.E.L.,E 
169,Savanne,Fantaisie,S 
170,Grand Port,Ferney,S 
171,Flacq,Flacq,E 
172,Rivière Noire - Black River,Flic en Flac,W 
173,Plaines Wilhems,Floréal,C 
174,Pamplemousses,Fond du Sac,N 
175,Savanne,Fontenelle,S 
176,Rivière du Rempart,Forbach,N 
177,Plaines Wilhems,Forest Side,C 
178,Port Louis,Fort Adélaïde,N 
179,Port Louis,Fort George,N 
180,Port Louis,Fort Victoria,N 
181,Port Louis,Fort Williams,N 
182,Savanne,Frederica,S 
183,Grand Port,Fressange,S 
184,Plaines Wilhems,Galléa,C 
185,Pamplemousses,Ganachaud,N 
186,Plaines Wilhems,Glen Park,C 
187,Rivière du Rempart,Gokoola,N 
188,Rivière du Rempart,Goodlands,N 
190,Pamplemousses,Gowsal,N 
191,Rivière du Rempart,Grand Baie,N 
192,Plaines Wilhems,Grand Bassin,C 
193,Savanne,Grand Bois,S 
194,Rivière du Rempart,Grand Gaube,N 
195,Port Louis,Grand Glacis,N 
196,Grand Port,Grand Sable,S 
197,Flacq,Grande Retraite,E 
198,Rivière Noire - Black River,Grande Rivière Noire,W 
199,Port Louis,Grande Rivière Nord Ouest,N 
200,Flacq,Grande Rivière Sud Est,E 
201,Pamplemousses,Grande Rosalie,N 
202,Rivière Noire - Black River,Grandes Gorges,W 
203,Savanne,Gris Gris,S 
204,Grand Port,Gros Billot,S 
205,Grand Port,Gros Bois,S 
206,Rivière Noire - Black River,Gros Cailloux,W 
207,Rivière du Rempart,Haute Rive,N 
208,Moka,Helvetia,C 
209,Plaines Wilhems,Henrietta,C 
210,Moka,Hermitage,C 
211,Plaines Wilhems,Highlands,C 
623,Port Louis,Sorèze,N 
212,Grand Port,Ile aux Aigrettes,S 
213,Rivière Noire - Black River,Ile aux Bénitiers,W 
214,Flacq,Ile aux Cerfs,E 
215,Flacq,Ile aux Chats,E 
216,Grand Port,Ile aux Fous,S 
217,Flacq,Ile aux Lubines,E 
218,Grand Port,Ile aux Oiseaux,S 
219,Port Louis,Ile aux Tonneliers,N 
220,Port Louis,Ile Bakly,N 
221,Flacq,Ile Camisard,E 
222,Rivière du Rempart,Ile d'Ambre,N 
223,Grand Port,Ile de la Passe,S 
224,Flacq,Ile de l'Est,E 
225,Grand Port,Ile des deux Cocos,S 
226,Flacq,Ile Forancis,E 
227,Flacq,Ile Malino,E 
228,Grand Port,Ile Marianne,S 
229,Rivière du Rempart,Ile Plate,N 
230,Grand Port,Ile Vacoas,S 
231,Grand Port,Ilot Chat,S 
232,Flacq,Ilot des Roches,E 
233,Rivière du Rempart,Ilot du Mort,N 
234,Grand Port,Ilot Flamants,S 
235,Rivière Noire - Black River,Ilot Fortier,W 
236,Rivière Noire - Black River,Ilot Fourneau,W 
237,Rivière du Rempart,Ilot Gabriel,N 
238,Rivière Noire - Black River,Ilot Malais,W 
239,Savanne,Ilot Sancho,S 
240,Grand Port,Ilot Singe,S 
241,Grand Port,Joli Bois,S 
242,Moka,Junction Peak,C 
243,Savanne,Jurançon,S 
244,Grand Port,La Barraque,S 
245,Plaines Wilhems,La Brasserie,C 
246,Grand Port,La Cambuse,S 
247,Flacq,La Caroline,E 
248,Plaines Wilhems,La Caverne,C 
249,Moka,La Chartreuse,C 
250,Rivière Noire - Black River,La Chaumière,W 
251,Grand Port,La Chaux,S 
252,Flacq,La Commune,E 
253,Rivière Noire - Black River,La Coupée St Martin,W 
254,Rivière Noire - Black River,La Crète,W 
255,Plaines Wilhems,La Croisée,C 
256,Port Louis,La Fenêtre,N 
257,Rivière Noire - Black River,La Ferme,W 
258,Savanne,La Flora,S 
259,Flacq,La Gaité,E 
260,Rivière Noire - Black River,La Gaulette,W 
261,Moka,La Laura,C 
262,Pamplemousses,La Louisa,N 
263,Plaines Wilhems,La Louise,C 
264,Flacq,La Lucie Roy,E 
265,Plaines Wilhems,La Marie,C 
266,Rivière Noire - Black River,La Mecque,W 
267,Rivière Noire - Black River,La Mivoie,W 
268,Pamplemousses,La Nicolière,N 
269,Flacq,La Nourrice,E 
270,Moka,La Pipe,C 
271,Rivière Noire - Black River,La Preneuse,W 
272,Grand Port,La Rampe,S 
273,Savanne,La Roche qui Pleure,S 
274,Grand Port,La Rosa,S 
275,Moka,La Russie,C 
276,Grand Port,La Terre Rouge,S 
277,Rivière du Rempart,Labourdonnais,N 
278,Moka,l'Agrément,C 
279,Flacq,Lallmatie,E 
280,Moka,l'Avenir,C 
281,Flacq,L'Aventure,E 
282,Rivière Noire - Black River,Laviléon,W 
283,Moka,Le Bocage,C 
284,Rivière Noire - Black River,Le Bosquet,W 
285,Grand Port,Le Bouchon,S 
286,Grand Port,Le Chaland,S 
287,Pamplemousses,Le Hochet,N 
288,Pamplemousses,Le Goulet,N 
289,Rivière Noire - Black River,Le Morne Brabant,W 
290,Savanne,Le Petit Cap,S 
291,Pamplemousses,Le Plessis,N 
292,Moka,Le Réduit,C 
293,Grand Port,Le Souffleur,S 
294,Grand Port,Le Val,S 
295,Grand Port,Le Vallon,S 
296,Grand Port,Leboeuf,S 
297,Rivière Noire - Black River,Le Morne,W 
298,Rivière Noire - Black River,L'embrasure,W 
299,Flacq,Lenferna,E 
300,Grand Port,Les Mares,S 
301,Pamplemousses,Les Mariannes,N 
302,Rivière Noire - Black River,Les Salines,W 
303,Flacq,Les Sept Chemins,E 
304,Grand Port,L'Escalier,S 
305,Flacq,Lesur,E 
306,Flacq,l'Etoile,E 
307,Grand Port,Ligne Barin,S 
308,Plaines Wilhems,Ligne Barrique,C 
309,Savanne,Luchon,S 
310,Flacq,l'Unité,E 
311,Savanne,Macondé,S 
312,Grand Port,Madame Lolo,S 
313,Rivière Noire - Black River,Magenta,W 
314,Grand Port,Mahébourg,S 
315,Grand Port,Malakoff,S 
316,Moka,Malenga,C 
317,Rivière du Rempart,Mapou,N 
318,Savanne,Mare Anguilles,S 
319,Flacq,Mare aux Fougères,E 
320,Flacq,Mare aux Lubines,E 
321,Plaines Wilhems,Mare aux Vacoas,C 
322,Grand Port,Mare Chicose,S 
323,Grand Port,Mare d'Albert,S 
324,Flacq,Mare d'Australia,E 
325,Flacq,Mare la Chaux,E 
326,Plaines Wilhems,Mare Longue,C 
327,Plaines Wilhems,Mare Ory,C 
328,Flacq,Mare Sarcelles,E 
329,Grand Port,Mare Tabac,S 
330,Moka,Martindale,C 
331,Rivière Noire - Black River,Médine,W 
332,Moka,Melrose,C 
333,Rivière du Rempart,Melville,N 
334,Moka,Midlands,C 
335,Moka,Minissy,C 
336,Rivière du Rempart,Mlle Jeanne,N 
337,Moka,Moka,C 
338,Grand Port,Mon Désert,S 
339,Moka,Mon Désert Alma,C 
340,Rivière Noire - Black River,Mon Désir,W 
341,Pamplemousses,Mon Gout,N 
342,Rivière du Rempart,Mon Loisir,N 
343,Pamplemousses,Mon Rocher,N 
344,Rivière du Rempart,Mon Songe,N 
